TeamSize,Budget,DurationDays,RiskLevel,Complexity,Industry,ClientSatisfaction,Outcome
14,843537.37,504,Medium,2,Healthcare,9.9,1
25,354741.06,693,Low,8,Healthcare,4.4,0
22,227192.58,719,High,5,Technology,8.7,1
27,88736.38,704,High,7,Healthcare,8.0,0
5,611348.3,409,Low,2,Retail,7.0,0
7,693686.14,574,Low,8,Finance,8.2,0
21,65758.44,720,Low,2,Retail,7.6,1
9,536488.41,456,High,4,Healthcare,10.0,1
23,265170.99,642,High,1,Manufacturing,10.0,0
11,662914.15,297,Low,5,Finance,7.7,1
9,215648.11,606,Medium,9,Finance,7.4,1
20,706390.85,446,Low,1,Technology,10.0,1
6,417398.58,197,High,9,Technology,8.9,0
27,939893.49,72,High,8,Manufacturing,5.8,0
16,180644.9,585,High,6,Finance,6.1,0
20,374013.03,314,Low,7,Manufacturing,7.7,1
28,157799.85,426,Low,3,Technology,6.3,1
11,928458.94,41,Low,1,Technology,7.1,1
28,883472.39,636,Low,5,Finance,5.2,0
23,295044.55,331,High,2,Retail,5.7,0
4,676984.84,282,High,5,Healthcare,8.2,1
22,826361.09,528,High,8,Technology,7.0,0
17,577440.77,64,High,9,Technology,10.0,1
9,553168.05,119,Medium,2,Retail,5.4,0
14,279759.68,634,Medium,3,Retail,8.3,0
10,138447.63,631,High,3,Manufacturing,8.0,1
17,902354.97,447,High,1,Manufacturing,6.9,0
5,905397.15,144,Low,8,Healthcare,9.1,1
16,651446.38,646,Low,6,Healthcare,6.5,1
19,372078.3,225,Low,8,Finance,7.2,0
6,381749.1,530,High,9,Manufacturing,6.8,0
20,739657.89,655,Medium,5,Technology,7.5,0
10,902254.75,522,Low,3,Manufacturing,7.3,0
6,892732.1,104,Medium,5,Technology,10.0,1
4,790881.77,442,Medium,5,Retail,5.8,0
8,659930.06,405,Low,5,Manufacturing,6.0,0
24,129932.97,449,Low,3,Retail,7.4,1
12,203547.28,306,Medium,4,Healthcare,7.5,1
6,903626.48,705,Medium,9,Healthcare,5.6,0
24,626107.61,423,Medium,9,Finance,9.8,1
20,58737.2,486,Medium,2,Manufacturing,9.0,0
28,146397.97,221,High,8,Retail,5.7,0
14,680326.68,718,Medium,8,Technology,6.9,1
4,54808.5,128,Medium,7,Healthcare,7.4,0
12,202767.65,577,High,8,Healthcare,7.3,1
6,571297.1,125,Low,3,Technology,7.8,0
16,707300.44,693,Low,6,Retail,8.5,1
18,669363.2,692,Low,1,Retail,4.7,0
17,263055.84,219,Medium,7,Manufacturing,10.0,1
10,726570.26,66,Medium,1,Manufacturing,10.0,1
16,275386.63,398,Medium,9,Finance,7.1,1
25,359129.71,724,Low,1,Healthcare,6.4,0
27,759166.83,554,Low,1,Manufacturing,7.4,0
10,667151.25,308,Low,7,Retail,8.7,1
23,856762.24,246,Low,2,Technology,9.4,1
18,674732.25,302,Medium,5,Retail,9.8,0
15,589893.17,91,Low,8,Healthcare,7.8,1
20,138991.03,625,Low,8,Retail,6.9,1
17,399330.01,371,High,3,Finance,6.3,1
23,301942.25,426,Low,7,Healthcare,7.1,1
26,281790.16,728,Medium,3,Technology,8.3,1
28,974360.03,48,Medium,6,Finance,10.0,1
27,423442.84,206,Low,6,Healthcare,5.9,0
15,897444.23,641,Medium,3,Technology,8.7,1
11,649581.69,425,High,7,Finance,6.6,0
17,805070.74,474,High,3,Finance,8.6,0
15,527505.24,262,Low,8,Healthcare,10.0,0
3,598058.69,105,High,4,Manufacturing,7.5,1
27,517891.81,294,Low,1,Finance,7.7,1
9,235480.84,484,Low,4,Finance,9.9,1
11,736329.51,413,Low,7,Technology,9.2,1
26,316733.74,593,High,4,Retail,9.6,0
3,73100.17,535,Low,6,Healthcare,9.1,1
14,663198.68,396,Low,9,Healthcare,7.5,1
10,218255.15,173,Medium,1,Manufacturing,9.3,1
26,943435.66,98,Low,5,Manufacturing,9.9,1
13,956232.15,128,Low,7,Healthcare,9.4,1
21,919121.17,425,Low,1,Manufacturing,9.2,1
19,401650.77,54,Low,4,Technology,9.9,1
10,64683.79,498,Low,6,Healthcare,8.5,0
5,931902.63,513,Low,2,Manufacturing,10.0,1
5,456774.94,594,Medium,5,Healthcare,7.7,0
3,968322.08,180,Low,1,Retail,8.2,1
29,965438.98,173,Low,6,Finance,8.4,1
7,860358.98,598,High,6,Healthcare,8.5,0
12,329726.45,68,Low,4,Finance,7.1,1
9,415842.84,138,Medium,8,Manufacturing,8.7,1
28,858579.84,722,Low,4,Finance,7.7,1
11,351075.9,71,Low,8,Healthcare,8.1,1
9,211018.11,215,Low,8,Retail,10.0,1
11,578961.2,427,Low,5,Manufacturing,8.5,1
10,939347.04,252,Low,4,Healthcare,8.4,1
14,711228.31,663,Low,2,Manufacturing,6.4,1
4,591558.11,162,Low,3,Technology,9.5,1
3,142317.67,192,Low,3,Finance,9.3,1
18,634256.87,244,Low,4,Technology,10.0,1
25,990551.16,264,Low,4,Healthcare,7.8,1
25,183079.81,687,Low,5,Retail,8.6,1
26,542413.17,617,Medium,4,Manufacturing,7.2,0
7,883504.42,38,Medium,8,Finance,9.0,0
5,753730.19,103,Low,6,Manufacturing,8.1,1
14,712164.95,521,Medium,6,Healthcare,7.1,0
10,717359.88,282,Medium,8,Manufacturing,9.0,1
24,391516.59,259,Low,7,Finance,8.4,1
29,328912.25,548,High,8,Healthcare,5.9,0
5,818893.1,203,High,2,Manufacturing,8.7,1
3,819607.72,682,Low,9,Retail,9.7,1
5,873718.7,197,Low,1,Healthcare,6.9,1
7,917578.52,199,High,8,Healthcare,6.8,0
17,535775.28,422,Medium,4,Retail,5.7,0
16,526440.48,663,Low,4,Technology,10.0,1
5,808380.42,223,Low,5,Finance,6.0,1
3,667465.73,546,Low,8,Technology,5.8,0
7,716868.53,58,Low,5,Manufacturing,8.8,1
28,806003.04,194,Medium,8,Retail,10.0,1
25,895505.07,451,Low,1,Technology,8.4,1
16,371095.4,368,Low,9,Healthcare,7.2,1
9,406803.81,677,Medium,6,Manufacturing,9.5,0
29,139282.84,525,Low,3,Manufacturing,6.2,1
11,599366.13,394,Low,8,Technology,4.8,1
17,84145.16,371,Medium,9,Technology,8.7,1
17,492318.12,529,High,6,Retail,5.9,0
28,565512.4,686,Medium,7,Finance,5.1,0
12,322214.19,540,Medium,1,Technology,9.5,1
15,611291.6,356,Low,5,Technology,8.6,1
21,78975.24,246,Low,5,Healthcare,7.4,1
9,85480.78,330,Medium,4,Manufacturing,6.4,1
19,831470.53,161,Low,6,Finance,9.5,1
22,392181.11,99,Low,7,Healthcare,9.1,1
6,170707.49,281,Low,9,Retail,7.9,1
7,546131.1,444,Low,1,Retail,10.0,1
25,781493.88,474,Low,6,Technology,5.1,0
9,255029.98,211,Low,7,Technology,4.4,0
15,641745.95,196,Low,3,Retail,7.3,1
17,131080.09,120,Low,8,Technology,8.0,1
13,99097.64,560,High,5,Finance,8.6,1
6,554786.9,68,Medium,9,Technology,7.7,1
15,563603.37,155,Medium,5,Manufacturing,8.8,1
9,655558.41,480,Medium,9,Technology,4.7,0
29,739786.77,202,Low,4,Healthcare,10.0,1
21,977059.48,682,Low,9,Finance,7.9,1
24,540485.33,249,Medium,5,Healthcare,8.4,0
4,356808.65,667,Medium,9,Healthcare,8.6,1
12,805426.89,87,Medium,3,Manufacturing,9.0,1
15,307290.64,689,Low,4,Finance,7.7,0
27,467022.85,505,Low,9,Finance,8.7,1
23,124533.56,485,Low,6,Finance,9.2,1
8,74083.21,390,Low,2,Finance,10.0,1
14,964515.99,30,Medium,7,Finance,6.9,0
14,844181.11,416,Medium,2,Manufacturing,8.0,0
22,711175.5,377,Low,2,Technology,6.8,0
13,438505.3,219,High,1,Healthcare,9.1,0
28,214629.6,534,Medium,3,Finance,7.3,1
25,198615.19,220,Low,6,Technology,10.0,1
27,287730.75,537,Low,8,Technology,8.0,1
9,571765.33,398,Low,9,Healthcare,5.9,1
3,728866.13,438,Low,7,Manufacturing,8.3,1
3,677187.51,146,Low,4,Retail,7.3,1
27,315937.2,163,Low,6,Retail,9.5,1
29,957122.02,87,Low,5,Technology,7.3,1
